Ref,programme_code,Sex,AgeGroup,age,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,Sponsored,GRADUATED
9995039,18,1,1,28,3,3,0,3,4,4,3,3,3,1,1
9995040,25,1,0,25,3,3,2,2,3,2,4,2,3,1,1
9995041,45,0,0,25,3,3,3,3,3,4,4,3,4,1,1
9995042,17,0,0,23,3,4,3,3,3,3,4,4,3,1,1
9995043,89,1,1,28,4,4,4,3,4,4,4,4,4,1,1
9995044,10,0,0,24,3,2,2,2,4,3,3,2,3,1,0
9995045,15,0,0,25,3,3,3,2,3,3,3,3,3,1,1
9995046,77,1,0,24,3,3,3,0,4,3,4,2,3,1,1
9995047,41,1,1,30,3,3,3,3,3,3,3,2,3,1,1
9995048,41,0,1,28,4,4,4,4,4,3,4,4,3,1,1
9995049,14,1,1,26,3,3,2,3,3,3,3,4,4,1,1
9995050,14,0,0,23,3,3,2,3,3,3,3,3,3,1,1
9995051,11,0,1,26,2,1,2,0,2,2,2,2,2,0,0
9995052,16,0,1,30,2,1,0,2,0,2,2,2,2,1,0
9995053,30,1,1,28,2,2,1,0,3,2,2,0,2,1,0
9995054,18,0,0,24,3,3,2,2,4,3,3,4,4,1,1
9995055,30,0,0,24,3,3,2,2,3,3,3,2,3,1,0
9995056,30,0,1,26,3,2,2,2,4,4,3,3,4,1,1
9995057,33,0,0,24,3,2,2,2,3,3,2,3,3,1,0
9995058,29,1,0,24,3,3,2,3,4,3,3,3,3,1,1
9995059,14,0,0,25,4,3,3,3,4,4,4,4,4,1,1
9995061,33,0,1,28,3,2,0,2,3,3,3,2,3,1,0
9995062,11,1,1,32,3,2,2,2,3,3,2,3,3,0,1
9995063,14,0,1,30,3,2,2,2,3,4,4,3,3,1,0
9995064,11,0,2,37,2,2,2,2,2,2,3,2,3,0,0
9995065,1,1,0,24,3,3,3,4,3,3,2,2,2,0,0
9995066,11,1,0,24,3,3,3,2,2,2,3,3,3,1,1
9995068,9,1,2,36,2,2,1,0,3,3,2,0,2,0,0
9995069,92,0,2,40,3,4,3,4,3,3,3,3,4,0,1
9995070,24,1,2,48,3,2,2,2,3,4,3,3,3,0,1
9995071,77,1,1,29,3,2,2,0,3,3,5,2,3,1,0
9995072,95,0,2,40,3,2,2,2,3,3,3,2,3,0,0
9995073,92,1,2,40,3,3,2,3,3,3,2,2,2,0,1
9995074,92,0,2,44,3,4,3,3,3,3,3,2,4,0,1
9995075,95,0,0,25,2,2,2,1,0,2,2,2,2,0,0
9995076,17,1,0,25,2,2,2,0,3,3,2,2,2,0,0
9995077,87,0,1,29,3,2,3,2,3,2,3,3,3,0,1
9995078,15,0,0,25,3,2,2,2,3,3,3,3,3,1,1
9995079,4,1,1,28,3,2,3,2,4,4,3,3,3,1,1
9995080,14,0,1,26,3,2,2,3,3,4,3,3,3,1,1
9995081,15,1,0,25,3,2,3,2,3,2,2,2,3,1,0
9995082,15,0,1,32,3,3,4,3,3,3,4,4,4,0,1
9995083,1,1,1,26,2,2,0,2,3,2,0,2,2,1,0
9995084,15,0,1,27,2,2,3,2,3,2,2,2,3,1,0
9995085,17,1,0,25,3,3,4,3,3,3,3,4,3,1,1
9995086,2,1,1,29,3,2,3,2,3,4,3,2,2,1,1
9995087,42,1,1,27,3,3,3,3,4,4,4,2,4,1,1
9995088,78,1,0,25,3,2,2,0,2,3,4,2,3,1,0
9995089,96,0,1,26,3,2,2,2,3,3,5,2,3,1,0
9995090,29,1,1,26,2,3,2,2,2,2,2,2,3,1,0
9995091,95,1,1,35,3,3,3,2,3,3,3,3,4,0,1
9995092,97,0,1,26,3,2,3,2,3,3,4,2,3,1,1
9995093,15,0,1,29,3,2,3,2,3,2,3,3,3,1,1
9995094,15,0,0,25,3,3,3,2,3,2,3,3,3,1,1
9995095,19,0,1,27,3,2,2,3,3,3,3,3,4,1,1
9995096,15,0,1,31,3,2,3,2,3,3,3,3,4,1,1
9995097,44,0,0,24,3,2,2,2,3,3,4,2,3,1,0
9995098,17,1,1,29,3,2,3,2,3,4,3,2,2,1,1
9995099,19,1,0,25,2,2,0,2,2,3,2,2,2,1,0
9995100,25,0,0,24,2,2,2,0,3,2,3,2,3,1,0
9995103,10,0,1,30,3,2,2,0,5,3,3,3,4,0,0
9995104,10,1,0,25,1,1,2,2,0,0,2,0,0,1,0
9995105,10,1,1,34,4,3,4,3,5,4,3,3,4,0,1
9995107,10,0,1,30,3,3,2,0,4,2,2,2,4,0,1
9995108,9,0,1,26,3,2,2,2,4,2,3,3,3,1,1
9995109,10,0,0,25,2,1,1,2,3,2,1,0,0,1,0
9995110,10,0,0,22,3,2,3,2,3,3,2,3,4,1,1
9995112,9,1,1,27,3,2,1,2,4,2,3,2,3,1,0
9995114,10,1,2,36,3,1,3,0,4,2,2,2,3,0,0
9995120,9,0,1,27,3,3,2,2,3,2,3,2,3,1,1
9995121,9,1,0,24,2,2,0,0,3,2,2,0,1,1,0
9995122,9,1,0,25,3,2,0,0,3,3,3,2,3,1,0
9995123,10,0,0,25,2,2,2,0,4,2,0,2,2,1,0
9995124,42,1,1,28,3,3,3,3,4,3,3,3,3,1,1
9995125,15,0,1,27,3,2,3,2,3,3,3,3,3,1,1
9995126,5,1,1,28,2,2,2,0,3,4,2,0,2,1,0
9995127,94,0,2,36,3,3,2,3,3,4,3,3,3,0,1
9995129,95,0,1,31,2,2,2,1,3,2,3,3,4,0,0
9995130,14,1,0,25,3,4,3,3,3,0,3,2,0,1,0
9995131,15,0,2,41,3,2,3,2,3,2,3,3,3,1,1
9995132,96,0,1,27,3,2,2,2,3,3,4,3,3,1,1
9995133,96,0,1,27,3,3,2,2,2,3,4,3,3,1,1
9995134,95,0,1,27,2,2,3,2,2,2,2,3,3,0,0
9995135,97,0,1,29,3,3,3,2,3,3,3,3,2,1,1
9995136,5,1,1,27,2,1,2,2,3,2,2,2,2,1,0
9995137,24,1,2,39,3,3,3,3,3,3,2,2,3,0,1
9995138,1,1,1,28,2,2,3,2,2,2,2,3,2,1,0
9995139,9,1,1,26,2,2,1,2,3,2,2,2,2,1,0
9995140,2,0,1,28,3,3,2,2,3,4,2,3,3,1,1
9995141,2,0,1,29,3,2,3,3,4,4,3,2,2,1,0
9995142,42,1,1,29,3,3,3,3,4,3,3,2,3,1,1
9995143,19,0,0,24,3,2,3,3,3,4,4,4,4,1,1
9995144,5,0,0,24,2,3,3,3,4,4,2,0,1,1,0
9995145,30,1,1,28,3,2,2,2,4,3,2,2,3,1,0
9995146,98,0,0,24,4,4,4,3,4,4,4,4,4,1,1
9995147,41,0,1,28,3,2,3,3,3,3,4,2,3,1,1
9995148,17,1,1,27,0,2,0,0,2,3,3,0,0,1,0
9995149,14,0,1,30,3,4,3,3,4,4,3,3,4,0,1
9995150,4,0,1,26,3,3,2,1,3,4,2,3,2,1,0
9995151,17,0,1,26,3,2,3,3,3,4,3,3,2,1,1
9995152,25,1,1,26,3,2,2,2,3,2,4,2,3,1,1
9995153,44,1,1,28,3,3,3,2,3,3,3,2,3,1,1
9995154,89,1,1,27,4,4,4,3,4,3,5,3,4,1,1
9995155,41,0,1,26,3,3,3,3,3,4,4,2,3,1,1
9995156,5,0,0,25,3,2,3,3,4,4,3,3,4,1,1
9995157,15,0,0,25,3,3,4,3,3,3,4,3,3,1,1
9995158,1,1,1,28,3,2,3,3,2,2,2,3,3,1,1
9995159,10,1,1,26,3,2,2,2,4,3,3,3,3,1,1
9995161,1,0,1,35,2,2,2,2,2,2,2,3,3,1,0
9995162,9,1,0,24,2,2,2,2,3,3,2,2,3,1,0
9995164,96,1,1,30,3,3,2,2,3,3,5,3,3,1,1
9995167,45,1,1,32,3,3,3,2,2,2,4,2,2,1,0
9995168,41,1,1,27,3,3,4,3,3,3,4,2,3,1,1
9995169,4,1,1,28,3,2,2,2,3,3,2,3,3,1,0
9995170,41,0,1,29,3,2,3,3,3,3,4,2,3,1,1
9995171,24,0,1,32,3,2,3,2,3,3,3,3,2,0,1
9995173,5,0,1,28,2,2,2,0,3,3,1,0,0,1,0
9995174,18,1,0,25,3,2,3,2,3,3,3,2,2,1,1
9995175,19,1,1,29,3,2,2,2,2,3,2,2,3,1,0
9995177,17,1,0,24,3,3,4,3,3,3,4,4,3,1,1
9995178,11,0,0,24,2,2,2,2,2,2,2,2,2,0,0
9995179,95,0,2,43,3,3,3,2,3,3,3,3,4,0,1
9995180,2,1,1,31,2,2,2,0,3,3,2,0,0,1,0
9995181,1,1,1,34,2,2,2,2,2,3,2,2,3,1,0
9995182,5,1,1,30,3,3,3,2,4,3,2,2,2,1,0
9995183,30,1,1,30,2,2,0,2,3,0,1,1,2,1,0
9995184,42,1,0,25,3,3,3,3,3,3,5,3,3,1,1
9995185,78,1,1,29,3,3,2,0,2,2,4,2,2,1,0
9995186,1,0,0,24,3,3,2,3,2,3,3,3,4,1,1
9995187,44,0,0,25,3,3,3,2,3,3,4,4,3,1,1
9995188,2,1,1,31,3,3,4,2,3,4,3,3,3,1,1
9995189,44,1,0,24,2,2,2,2,3,2,3,2,3,1,0
9995190,41,0,1,27,3,3,3,3,4,3,4,3,4,1,1
9995191,95,1,1,26,2,2,0,0,3,2,2,2,2,0,0
9995192,19,1,1,27,3,2,2,2,3,3,3,3,3,1,1
9995193,97,0,0,25,0,2,2,0,3,2,4,0,0,1,0
9995194,33,0,0,25,3,2,2,0,4,4,4,3,3,1,1
9995197,98,1,1,26,3,4,3,2,3,3,3,0,3,1,0
9995198,29,0,1,27,2,2,2,2,3,2,2,2,3,1,0
9995199,78,0,1,27,3,3,3,2,3,3,4,4,3,1,1
9995200,5,0,0,25,3,2,2,2,3,3,3,3,3,1,0
9995201,45,0,0,24,3,3,3,3,3,3,4,3,4,1,1
9995202,17,0,1,26,0,3,0,0,3,3,3,0,0,1,0
9995203,97,0,1,27,3,4,3,3,4,4,4,3,3,1,1
9995204,2,0,1,29,2,2,2,0,2,3,2,2,2,1,0
9995205,2,1,1,26,1,0,2,0,0,0,0,0,0,0,0
9995207,41,0,0,25,3,2,2,2,3,3,4,3,3,1,1
9995208,1,0,1,28,2,2,2,0,2,2,0,0,2,1,0
9995209,5,1,1,27,3,3,3,3,4,3,2,3,3,0,0
9995210,33,0,0,23,3,2,0,2,3,3,3,3,3,1,1
9995212,17,0,0,23,3,2,3,2,3,4,3,3,3,1,1
9995213,1,1,1,30,3,3,4,3,3,3,3,3,3,1,1
9995214,15,0,1,30,3,2,3,3,3,3,3,3,3,1,1
9995215,41,1,1,28,3,2,2,2,3,2,3,2,2,1,0
9995216,9,1,1,26,1,2,1,2,3,2,2,0,0,1,0
9995217,1,0,1,28,3,2,2,2,2,2,2,3,3,1,1
9995218,44,0,1,29,2,2,2,2,2,2,4,2,3,1,0
9995219,18,1,1,28,2,3,0,2,2,3,2,2,2,1,0
9995220,19,0,0,25,3,2,2,2,3,2,3,2,3,1,0
9995221,33,1,1,29,3,2,2,2,3,3,4,3,3,1,1
9995222,19,0,1,28,2,2,2,1,3,3,2,2,3,1,0
9995223,5,0,0,25,4,4,4,4,5,4,4,4,3,1,1
9995224,97,1,1,27,2,2,0,2,2,3,3,1,0,0,0
9995225,42,1,0,25,3,3,3,2,3,3,4,2,3,1,1
9995226,87,0,1,28,3,2,2,2,3,3,3,3,3,1,1
9995227,78,1,1,30,3,3,3,2,3,3,4,3,3,1,0
9995228,15,1,1,28,3,2,3,2,3,3,3,3,3,1,1
9995229,95,0,1,30,3,2,2,2,3,3,3,2,3,0,1
9995230,24,0,2,36,3,3,3,3,3,3,3,3,2,0,1
9995231,2,0,0,25,3,3,3,3,3,3,2,3,3,1,1
9995232,17,1,1,32,3,3,3,2,4,4,3,2,2,1,0
9995233,14,0,1,27,3,2,2,2,3,3,3,2,3,1,1
9995234,45,0,0,24,3,3,3,3,3,3,4,3,3,1,1
9995235,1,1,1,29,3,3,3,2,2,2,3,3,3,1,1
9995236,18,0,0,24,2,1,1,2,2,2,0,1,2,1,0
9995237,24,1,1,34,3,2,2,2,3,3,3,2,3,0,1
9995238,19,1,1,31,2,2,0,2,3,2,2,2,3,1,0
9995239,9,1,1,30,2,3,1,2,4,3,3,1,1,0,0
9995240,42,0,0,24,3,2,3,2,3,3,4,3,4,1,1
9995241,2,1,1,28,0,2,3,0,3,4,0,2,2,1,0
9995241,2,1,1,28,3,2,3,0,3,4,0,2,2,1,0
9995242,2,1,1,28,2,3,3,0,2,4,2,0,2,1,0
9995243,17,1,1,28,2,3,2,2,2,3,2,2,2,1,0
9995244,89,1,1,26,3,3,3,3,3,3,3,3,3,1,1
9995246,9,1,1,26,1,2,0,0,3,2,2,0,0,1,0
9995247,14,0,0,25,3,3,3,3,3,4,3,4,4,1,1
9995248,14,0,0,25,4,4,3,4,4,4,4,4,3,1,1
9995249,92,1,2,39,3,3,2,2,3,3,3,2,2,0,1
9995250,5,0,0,24,4,3,3,3,4,4,4,3,4,1,1
9995251,2,0,1,28,3,3,3,2,3,4,3,3,3,1,1
9995252,17,1,1,27,3,4,3,3,3,4,3,3,2,1,1
9995253,11,0,2,43,2,2,2,2,2,2,2,2,2,0,0
9995255,5,1,1,27,1,2,2,0,3,2,1,0,0,1,0
9995258,18,1,1,26,2,3,2,2,3,3,2,2,2,1,0
9995259,1,1,0,24,2,2,2,2,2,2,2,2,2,1,0
9995260,5,1,0,24,4,3,3,4,5,4,3,3,3,1,0
9995261,42,1,0,25,3,3,3,3,3,3,3,3,3,1,1
9995263,96,0,1,26,3,3,3,3,3,3,4,3,4,1,1
9995264,14,1,0,24,4,4,3,4,5,5,4,3,4,1,1
9995265,45,0,1,27,3,3,3,3,3,3,4,3,3,1,1
9995266,42,0,0,25,3,2,3,2,3,3,4,2,3,1,0
9995267,5,0,0,24,3,2,2,2,4,3,3,2,3,1,1
9995268,17,1,1,27,4,4,4,4,4,4,4,4,4,1,1
9995269,17,0,0,24,3,3,3,3,3,4,3,4,3,1,1
9995270,41,0,0,24,3,3,4,3,4,3,3,3,4,1,1
9995271,1,0,0,24,3,3,3,3,2,3,2,3,3,1,1
9995272,15,0,1,28,3,2,3,2,3,3,3,3,4,1,1
9995273,17,0,1,27,3,2,3,2,3,4,3,2,3,1,1
9995274,14,0,1,28,3,3,2,3,3,3,3,4,4,1,1
9995275,97,0,0,25,3,2,3,2,2,3,3,3,3,1,1
9995276,5,1,1,26,2,2,2,0,3,2,2,2,2,1,0
9995277,14,1,1,28,3,3,3,3,3,3,3,3,3,1,1
9995278,42,0,1,26,3,3,3,2,4,3,4,2,3,1,1
9995279,2,1,1,30,3,3,2,2,3,3,2,3,3,1,1
9995280,2,1,0,25,4,4,5,4,4,4,3,3,4,1,1
9995281,14,0,0,25,3,3,2,3,3,4,4,3,3,1,1
9995282,30,0,0,25,4,3,3,3,4,4,3,3,4,1,1
9995283,5,0,0,24,3,2,4,3,4,3,3,2,2,1,0
9995284,18,0,0,24,3,3,2,3,3,3,3,3,4,1,1
9995285,5,0,0,25,3,3,3,3,3,3,2,3,3,1,0
9995286,97,0,0,24,3,2,2,2,3,3,4,3,3,1,1
9995287,15,1,1,26,3,3,3,2,3,3,3,3,4,1,1
9995288,1,1,1,30,2,2,2,2,3,2,2,3,3,1,0
9995289,19,0,1,26,2,2,2,0,4,3,2,2,2,1,0
9995291,17,0,1,29,3,2,2,3,4,4,4,4,3,1,1
9995292,89,1,1,28,3,3,3,2,3,3,4,2,3,1,1
9995293,1,0,0,24,3,2,3,3,2,2,2,3,3,1,1
9995294,17,0,0,25,3,2,2,2,3,3,4,3,3,1,1
9995296,1,0,1,27,2,3,2,2,2,2,2,2,2,1,0
9995297,17,1,1,29,2,2,1,0,4,4,3,2,2,1,0
9995298,15,0,1,28,3,2,3,2,3,2,3,2,4,1,1
9995299,45,0,0,25,3,4,3,4,3,3,4,3,4,1,1
9995300,14,0,1,29,3,3,3,3,3,0,3,3,3,1,1
9995301,14,1,0,24,3,3,3,3,3,3,3,3,3,1,1
9995302,29,0,0,24,3,3,2,3,4,3,2,2,3,1,1
9995303,95,1,0,25,3,2,3,2,3,3,3,3,3,0,1
9995304,17,0,0,24,4,4,3,3,4,4,4,4,3,1,1
9995305,10,0,0,25,2,2,2,2,3,2,2,2,3,1,0
9995306,5,1,1,30,4,4,4,3,4,4,3,3,3,1,1
9995307,17,1,0,25,4,4,4,3,4,4,4,4,3,1,1
9995308,97,0,0,25,4,3,4,4,3,3,5,3,3,1,1
9995309,14,1,1,29,3,3,3,3,3,4,3,3,3,1,0
9995310,17,1,0,24,3,2,2,2,3,0,3,3,2,1,0
9995311,14,0,0,24,4,3,3,3,3,4,4,4,4,1,1
9995312,98,1,0,25,4,4,3,3,4,4,4,4,4,1,1
9995313,5,0,1,28,3,2,2,2,3,3,3,3,3,1,1
9995314,5,0,0,24,3,2,3,2,3,4,3,3,3,1,1
9995315,89,0,1,28,4,2,3,3,4,4,5,4,3,1,1
9995316,97,0,0,25,3,3,3,3,4,4,3,4,4,1,1
9995317,14,0,0,25,4,3,3,4,4,4,4,4,5,1,1
9995318,30,1,1,26,3,2,2,2,3,3,2,2,3,1,1
9995319,98,1,1,28,3,3,3,2,3,3,3,3,3,1,1
9995320,17,1,0,25,4,3,3,3,3,4,4,4,3,1,1
9995321,9,1,0,25,2,2,1,0,4,2,2,0,1,1,0
9995322,9,1,0,24,2,2,2,0,3,2,0,1,0,1,0
9995323,44,0,0,24,3,3,3,3,4,4,4,3,3,1,1
9995324,1,1,1,33,2,3,3,2,2,3,2,3,3,1,0
9995325,14,0,0,25,3,3,3,3,3,4,3,3,3,1,1
9995326,17,1,0,25,0,3,3,2,2,3,3,2,0,1,0
9995327,89,1,1,27,3,3,2,0,3,3,3,2,2,1,1
9995328,89,1,1,31,3,3,2,2,3,3,4,2,2,1,1
9995329,44,0,1,27,3,3,3,3,4,3,4,3,4,1,1
9995330,5,1,1,26,3,3,4,3,4,2,2,2,0,1,0
9995331,89,1,1,28,3,3,4,2,3,3,5,2,3,1,1
9995332,17,1,0,24,0,3,3,2,3,4,3,2,0,1,0
9995333,1,0,1,28,3,3,2,3,3,3,3,2,3,1,0
9995334,77,0,1,26,3,2,2,2,3,3,4,2,3,1,1
9995335,77,0,1,26,3,3,3,2,4,4,4,3,4,1,1
9995336,41,1,0,24,3,2,3,3,3,3,4,2,3,1,1
9995337,17,0,0,23,3,2,0,2,3,3,3,3,3,1,0
9995338,1,0,1,28,3,3,3,2,2,3,2,3,3,1,1
9995339,42,1,0,25,3,3,2,2,3,3,4,3,3,1,1
9995340,1,1,1,26,3,3,3,2,2,2,3,3,3,1,1
9995341,14,0,0,24,4,4,3,4,3,4,4,5,5,1,1
9995342,17,1,0,24,3,3,3,2,3,4,3,2,2,1,1
9995343,17,0,1,27,3,3,3,3,4,4,4,4,3,1,1
9995344,11,0,0,25,2,2,2,2,2,0,2,2,2,0,0
9995345,87,1,1,29,3,3,3,2,3,2,3,2,2,1,1
9995346,17,1,0,24,3,3,0,2,3,3,3,3,3,1,1
9995347,96,1,0,25,0,2,0,1,2,2,5,0,0,1,0
9995348,89,1,1,30,3,4,3,3,3,3,4,3,3,1,1
9995349,2,0,0,25,3,3,3,2,3,3,3,3,3,1,1
9995350,24,1,1,28,3,2,2,2,3,3,3,2,2,0,1
9995351,1,0,0,25,2,3,3,2,2,3,3,2,0,1,0
9995352,5,1,1,30,2,2,2,2,4,3,2,1,0,1,0
9995353,25,0,1,28,3,2,2,2,3,3,4,2,3,1,1
9995354,5,0,0,24,3,2,2,3,3,3,3,3,3,1,1
9995355,9,1,0,24,2,2,1,0,3,3,3,2,2,1,0
9995356,2,0,1,31,3,2,3,2,3,3,3,3,3,1,0
9995357,14,1,1,27,3,3,2,2,3,3,3,3,4,1,1
9995358,2,0,1,28,3,3,4,2,4,4,3,3,3,1,1
9995359,5,0,0,24,3,2,2,3,3,4,3,3,3,1,0
9995360,19,1,1,31,3,3,3,3,3,3,4,3,4,1,1
9995361,5,0,0,25,3,2,2,2,4,3,3,2,2,1,1
9995362,97,0,1,30,3,3,3,3,3,4,4,2,3,1,1
9995363,15,0,1,31,3,2,3,2,3,2,3,3,4,1,1
9995364,2,0,1,30,1,2,2,0,2,2,1,0,0,1,0
9995365,29,0,0,24,3,3,2,2,4,3,3,2,3,1,0
9995366,1,1,0,25,3,3,3,3,3,3,4,3,3,1,1
9995367,2,0,0,25,3,3,3,2,3,4,3,3,3,1,1
9995368,15,0,0,24,3,3,3,3,3,3,3,3,4,1,1
9995369,41,1,0,25,4,3,4,3,4,3,4,3,4,1,1
9995370,14,1,0,24,4,3,3,3,4,4,4,4,4,1,1
9995371,42,1,1,27,3,3,4,3,3,4,4,3,3,1,1
9995372,98,1,0,25,3,3,2,3,3,3,4,3,4,1,1
9995373,17,0,0,25,3,3,3,3,3,2,3,3,3,1,1
9995374,42,1,1,28,3,2,3,3,4,3,5,3,4,1,1
9995375,17,0,0,24,3,2,2,2,3,3,3,2,3,1,1
9995376,1,1,1,26,3,3,3,2,3,2,3,3,3,1,1
9995377,17,0,1,28,2,2,2,0,3,3,2,2,2,1,0
9995378,44,0,0,25,4,4,4,4,4,4,4,4,4,1,1
9995379,14,0,0,24,3,2,2,3,3,0,3,2,3,1,1
9995380,1,0,1,26,2,2,2,2,2,2,2,2,2,1,0
9995381,24,0,2,36,3,2,2,2,3,2,2,2,3,0,1
9995382,5,0,0,24,3,3,3,2,3,3,3,2,2,1,0
9995384,17,1,1,26,3,4,4,3,4,4,4,4,2,1,1
9995385,89,0,1,29,4,4,4,3,4,4,5,3,4,1,1
9995386,15,0,1,26,3,3,4,3,3,3,3,3,4,1,1
9995387,96,1,1,28,3,3,2,2,3,4,5,2,3,1,1
9995389,4,1,1,26,3,3,3,2,2,4,3,3,3,1,1
9995390,42,0,0,25,3,2,2,2,3,2,4,2,3,1,1
9995391,17,1,1,28,3,3,2,2,3,4,4,3,3,1,1
9995392,1,0,1,31,3,3,3,3,3,3,3,3,2,1,1
9995393,5,1,1,26,3,3,3,2,3,4,3,2,3,1,1
9995394,97,1,1,26,3,3,3,3,3,4,5,4,3,1,1
9995395,17,1,1,29,3,2,2,2,3,3,3,2,2,0,1
9995396,89,1,1,26,3,3,3,2,3,3,4,2,2,1,1
9995397,89,1,1,28,3,3,3,0,3,3,5,2,3,1,1
9995398,14,1,0,24,4,4,3,4,4,0,4,3,3,1,1
9995399,98,1,0,24,3,4,3,3,4,4,3,3,3,1,1
9995400,14,0,0,24,4,4,3,3,4,4,4,4,4,1,1
9995401,77,1,1,26,3,3,3,2,3,3,3,2,3,1,0
9995402,15,0,0,25,3,3,3,3,3,3,3,3,4,1,1
9995403,1,0,1,30,3,3,3,2,3,2,2,3,3,1,1
9995405,11,0,0,25,2,2,2,2,2,2,2,3,2,0,0
9995406,87,0,0,25,3,2,3,2,3,3,3,3,4,1,1
9995407,89,0,0,25,4,4,4,3,3,4,5,3,4,1,1
9995408,4,0,1,32,2,2,2,1,3,3,2,2,2,1,0
9995409,9,1,1,26,3,2,1,2,4,4,3,3,3,1,1
9995411,97,0,1,29,3,2,3,2,3,3,3,3,3,1,1
9995412,45,0,0,24,4,4,3,4,3,3,4,4,4,1,1
9995413,44,1,0,25,4,4,4,3,4,4,4,4,4,1,1
9995414,89,0,0,25,3,3,3,2,3,3,4,2,2,1,1
9995416,15,0,1,26,3,2,3,2,3,3,3,3,3,0,1
9995417,89,1,1,27,3,2,2,2,3,3,5,3,2,1,0
9995419,14,0,1,28,3,3,2,3,2,0,3,3,4,1,1
9995420,17,1,1,28,3,2,2,2,4,3,3,3,3,1,1
9995421,30,1,0,24,2,3,3,2,3,3,2,0,2,1,0
9995422,17,0,1,27,3,3,2,2,4,3,3,3,3,1,1
9995423,1,0,0,24,2,3,2,2,2,3,2,2,3,1,0
9995424,5,1,0,24,5,4,4,4,5,5,5,5,5,1,1
9995426,29,0,0,24,2,2,2,2,3,2,3,0,2,1,0
9995427,14,0,1,26,3,3,3,2,3,3,3,4,4,0,1
9995428,95,0,1,26,2,2,2,0,3,3,3,2,3,0,0
9995429,97,0,0,25,3,2,2,2,3,3,4,3,3,1,1
9995430,10,1,0,24,2,2,0,2,3,3,2,2,1,1,0
9995431,42,1,1,32,2,3,3,2,2,2,4,1,2,1,0
9995432,17,1,1,26,3,3,3,2,3,4,3,3,2,1,1
9995433,77,1,1,29,2,2,2,0,2,2,3,2,3,1,0
9995434,97,0,0,24,3,2,4,3,3,3,5,3,3,1,1
9995435,87,0,1,27,3,2,2,3,3,3,3,3,4,1,1
9995436,89,1,0,25,4,4,4,3,3,3,4,4,4,1,1
9995437,98,0,1,29,3,3,2,2,4,4,3,3,3,1,1
9995438,14,0,0,24,2,2,2,2,0,3,3,2,2,0,0
9995439,44,1,0,25,3,3,3,2,3,3,4,2,3,1,1
9995440,41,1,0,24,3,3,3,3,3,3,3,3,4,1,1
9995441,96,0,1,29,3,2,2,2,3,3,3,3,3,1,1
9995442,17,1,1,28,3,3,3,2,4,4,3,3,3,1,1
9995443,14,0,1,26,3,3,3,2,3,0,3,2,3,1,1
9995444,17,1,0,24,3,3,2,0,3,3,3,3,3,1,0
9995445,17,1,1,28,3,3,3,3,3,3,3,3,3,1,1
