Ref,Sex,AgeGroup,programme_code,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5303,1,0,95,3,2,3,2,3,3,3,3,3,1
STU5304,0,0,17,4,4,3,3,4,4,4,4,3,1
STU5305,0,0,10,2,2,2,2,3,2,2,2,3,0
STU5310,1,0,17,3,2,2,2,3,0,3,3,2,0
STU5311,0,0,14,4,3,3,3,3,4,4,4,4,1
STU5312,1,0,98,4,4,3,3,4,4,4,4,4,1
STU5307,1,0,17,4,4,4,3,4,4,4,4,3,1
STU5308,0,0,97,4,3,4,4,3,3,5,3,3,1
STU5314,0,0,5,3,2,3,2,3,4,3,3,3,1
STU5316,0,0,97,3,3,3,3,4,4,3,4,4,1
STU5317,0,0,14,4,3,3,4,4,4,4,4,5,1
STU5320,1,0,17,4,3,3,3,3,4,4,4,3,1
STU5321,1,0,9,2,2,1,0,4,2,2,0,1,0
STU5322,1,0,9,2,2,2,0,3,2,0,1,0,0
STU5323,0,0,44,3,3,3,3,4,4,4,3,3,1
STU5325,0,0,14,3,3,3,3,3,4,3,3,3,1
STU5336,1,0,41,3,2,3,3,3,3,4,2,3,1
STU5337,0,0,17,3,2,0,2,3,3,3,3,3,0
STU5339,1,0,42,3,3,2,2,3,3,4,3,3,1
STU5341,0,0,14,4,4,3,4,3,4,4,5,5,1
STU5342,1,0,17,3,3,3,2,3,4,3,2,2,1
STU5344,0,0,11,2,2,2,2,2,0,2,2,2,0
STU5349,0,0,2,3,3,3,2,3,3,3,3,3,1
STU5354,0,0,5,3,2,2,3,3,3,3,3,3,1
STU5355,1,0,9,2,2,1,0,3,3,3,2,2,0
STU5351,0,0,1,2,3,3,2,2,3,3,2,0,0
STU5359,0,0,5,3,2,2,3,3,4,3,3,3,0
STU5361,0,0,5,3,2,2,2,4,3,3,2,2,1
STU5365,0,0,29,3,3,2,2,4,3,3,2,3,0
STU5366,1,0,1,3,3,3,3,3,3,4,3,3,1
STU5367,0,0,2,3,3,3,2,3,4,3,3,3,1
STU5368,0,0,15,3,3,3,3,3,3,3,3,4,1
STU5369,1,0,41,4,3,4,3,4,3,4,3,4,1
STU5370,1,0,14,4,3,3,3,4,4,4,4,4,1
STU5372,1,0,98,3,3,2,3,3,3,4,3,4,1
STU5373,0,0,17,3,3,3,3,3,2,3,3,3,1
STU5375,0,0,17,3,2,2,2,3,3,3,2,3,1
STU5378,0,0,44,4,4,4,4,4,4,4,4,4,1
STU5379,0,0,14,3,2,2,3,3,0,3,2,3,1
STU5382,0,0,5,3,3,3,2,3,3,3,2,2,0
STU5390,0,0,42,3,2,2,2,3,2,4,2,3,1
STU5398,1,0,14,4,4,3,4,4,0,4,3,3,1
STU5399,1,0,98,3,4,3,3,4,4,3,3,3,1
STU5400,0,0,14,4,4,3,3,4,4,4,4,4,1
STU5388,0,0,97,2,0,2,2,3,2,3,2,2,0
STU5402,0,0,15,3,3,3,3,3,3,3,3,4,1
STU5405,0,0,11,2,2,2,2,2,2,2,3,2,0
STU5406,0,0,87,3,2,3,2,3,3,3,3,4,1
STU5407,0,0,89,4,4,4,3,3,4,5,3,4,1
STU5412,0,0,45,4,4,3,4,3,3,4,4,4,1
STU5413,1,0,44,4,4,4,3,4,4,4,4,4,1
STU5414,0,0,89,3,3,3,2,3,3,4,2,2,1
STU5415,0,0,79,3,0,3,2,3,3,4,3,2,0
STU5418,1,0,5,1,0,2,0,1,3,2,1,0,0
STU5421,1,0,30,2,3,3,2,3,3,2,0,2,0
STU5423,0,0,1,2,3,2,2,2,3,2,2,3,0
STU5424,1,0,5,5,4,4,4,5,5,5,5,5,1
STU5429,0,0,97,3,2,2,2,3,3,4,3,3,1
STU5430,1,0,10,2,2,0,2,3,3,2,2,1,0
STU5426,0,0,29,2,2,2,2,3,2,3,0,2,0
STU5434,0,0,97,3,2,4,3,3,3,5,3,3,1
STU5438,0,0,14,2,2,2,2,0,3,3,2,2,0
STU5439,1,0,44,3,3,3,2,3,3,4,2,3,1
STU5440,1,0,41,3,3,3,3,3,3,3,3,4,1
STU5436,1,0,89,4,4,4,3,3,3,4,4,4,1
STU5444,1,0,17,3,3,2,0,3,3,3,3,3,0
STU5446,0,0,17,3,2,2,2,3,3,3,3,3,1
STU5447,0,0,17,3,2,3,2,4,3,3,2,2,1
STU5449,0,0,1,2,3,3,2,3,2,2,2,2,0
STU5452,0,0,96,3,2,3,2,2,3,3,3,3,1
STU5453,0,0,14,3,3,3,3,3,3,3,3,3,1
STU5457,1,0,1,2,3,3,2,2,2,2,3,2,0
STU5458,0,0,87,3,2,3,2,3,3,3,2,3,1
STU5459,0,0,14,3,3,3,3,4,4,4,3,4,1
STU5460,0,0,14,4,4,3,4,4,5,4,4,4,1
STU5461,0,0,5,1,2,3,0,2,2,0,0,1,0
STU5462,0,0,18,2,3,2,1,3,2,2,2,2,0
STU5467,1,0,30,2,0,2,2,3,2,0,0,0,0
STU5468,0,0,14,4,3,3,3,3,4,4,4,4,1
STU5465,1,0,5,3,3,3,4,4,3,3,3,3,1
STU5473,0,0,97,3,3,3,3,3,4,4,4,3,1
STU5475,1,0,17,3,4,4,3,2,3,4,3,4,1
STU5476,0,0,5,5,4,5,5,5,5,5,5,4,1
STU5477,1,0,19,2,2,2,2,2,2,2,2,2,0
STU5479,1,0,98,3,3,3,2,3,3,4,3,3,1
STU5480,0,0,45,3,2,2,2,2,3,4,3,3,1
STU5482,0,0,15,3,2,3,2,3,3,3,3,4,1
STU5486,0,0,19,3,0,0,2,3,4,3,3,2,0
STU5487,0,0,96,3,3,3,2,3,3,4,3,3,1
STU5488,0,0,2,3,4,3,3,3,4,2,4,4,1
STU5490,0,0,5,2,2,2,2,2,2,2,1,2,0
STU5491,1,0,5,3,3,3,2,5,4,3,2,3,1
STU5493,0,0,1,3,2,2,2,2,3,3,3,3,1
STU5495,0,0,1,2,2,2,2,2,3,2,2,3,0
STU5496,0,0,41,3,3,3,3,3,3,4,3,4,1
STU5502,1,0,42,2,2,2,2,3,2,4,1,2,0
STU5503,0,0,5,3,3,3,2,3,3,3,3,3,1
STU5504,1,0,44,3,3,3,2,3,2,3,2,2,1
STU5505,1,0,42,3,2,2,2,3,3,4,3,4,1
STU5509,1,0,44,3,2,3,3,3,3,4,2,3,1
STU5510,0,0,14,3,3,3,3,4,4,4,4,3,1
STU5511,0,0,14,4,4,4,4,4,4,4,4,4,1
STU5512,1,0,5,3,2,2,2,2,4,4,4,3,0
STU5500,1,0,89,3,3,3,2,3,3,4,3,3,1
STU5515,0,0,5,3,3,3,4,5,4,3,2,3,1
STU5517,0,0,14,3,3,2,3,3,3,3,3,3,1
STU5520,1,0,42,3,3,2,2,4,4,4,2,3,1
STU5525,0,0,1,3,3,3,3,3,3,3,3,3,1
STU5526,0,0,17,3,3,2,2,4,3,3,4,3,1
STU5528,1,0,17,3,2,2,2,3,4,3,3,2,0
STU5530,1,0,17,3,3,2,2,3,4,3,4,3,1
STU5532,1,0,17,3,2,2,2,4,4,3,2,2,1
STU5534,0,0,45,3,3,3,3,3,3,4,2,4,1
STU5537,0,0,17,3,3,2,2,3,3,3,3,3,0
STU5539,1,0,30,2,2,2,0,3,2,2,0,0,0
STU5541,0,0,15,3,2,3,2,2,3,3,2,3,1
STU5542,0,0,1,3,3,3,2,2,2,2,3,3,1
STU5543,1,0,41,3,2,3,2,3,2,4,2,2,0
STU5553,0,0,17,4,3,3,4,3,4,4,4,4,1
STU5554,1,0,5,2,2,2,1,3,2,0,0,0,0
STU5555,1,0,41,3,3,3,4,3,3,4,3,4,1
STU5545,0,0,2,3,2,3,2,3,3,2,3,3,0
STU5548,0,0,19,2,2,2,2,3,2,2,2,0,0
STU5561,0,0,89,3,3,2,2,4,3,3,3,2,1
STU5568,0,0,5,3,3,3,4,4,4,3,2,2,0
STU5569,0,0,14,4,3,3,3,4,4,4,3,4,1
STU5570,0,0,1,2,3,2,2,2,2,2,2,2,0
STU5571,0,0,14,4,4,4,4,4,5,4,4,4,1
STU5572,1,0,1,2,1,2,0,2,2,2,2,0,0
STU5550,0,0,17,3,0,3,0,3,3,4,2,2,0
STU5551,0,0,5,3,2,2,2,3,3,3,3,3,1
STU5576,0,0,4,3,3,2,2,3,3,3,3,3,1
STU5577,0,0,17,3,3,2,0,3,3,3,3,3,0
STU5579,0,0,1,3,3,3,3,3,3,2,4,4,1
STU5580,1,0,17,3,3,3,3,3,4,3,3,3,1
STU5583,0,0,16,2,0,2,0,2,2,2,3,2,0
STU5584,1,0,17,4,3,3,3,4,4,4,4,4,1
STU5585,0,0,17,4,4,4,4,3,4,4,4,3,1
STU5587,0,0,17,3,3,3,3,4,4,4,3,3,1
STU5588,0,0,42,4,4,3,3,4,3,4,2,4,1
STU5589,0,0,14,3,3,2,3,3,3,3,3,3,1
STU5593,1,0,17,3,2,2,2,3,3,3,2,2,1
STU5594,0,0,16,2,2,2,2,2,2,2,0,2,0
STU5596,1,0,78,3,3,4,3,2,3,4,4,4,1
STU5601,0,0,25,3,3,3,2,4,2,4,2,3,1
STU5604,0,0,5,2,0,0,2,3,4,2,2,0,0
STU5605,1,0,41,3,2,3,3,3,3,4,2,3,0
STU5611,1,0,42,3,3,2,0,3,2,4,0,2,0
STU5612,1,0,30,3,2,2,2,4,4,3,3,4,1
STU5613,1,0,17,2,2,2,2,3,3,3,2,3,0
STU5616,0,0,1,2,2,2,2,2,3,2,2,2,0
STU5619,1,0,5,3,3,3,2,3,3,3,3,3,1
STU5621,0,0,17,3,2,2,2,4,3,3,3,3,1
STU5622,1,0,17,3,3,3,2,4,4,3,3,2,1
STU5623,0,0,87,3,3,3,2,2,2,3,3,4,1
STU5624,0,0,17,2,2,0,2,3,3,3,2,2,0
STU5626,0,0,2,2,2,2,2,3,4,2,2,2,0
STU5627,0,0,14,4,4,3,4,3,4,4,4,4,1
STU5628,1,0,17,2,2,2,0,4,4,3,2,0,0
STU5630,0,0,5,4,4,3,3,4,5,5,4,5,1
STU5634,0,0,5,3,2,2,1,3,3,3,3,2,0
STU5641,1,0,11,2,2,0,2,2,2,3,2,3,0
STU5642,0,0,97,3,3,3,3,3,3,4,3,3,1
STU5643,0,0,17,3,4,3,3,4,3,3,4,3,1
STU5648,1,0,5,2,2,2,0,4,2,0,0,0,0
STU5649,1,0,18,3,3,2,3,4,3,3,3,3,1
STU5646,0,0,98,3,3,3,2,3,4,4,3,3,1
STU5657,1,0,5,2,3,3,2,4,2,2,1,0,0
STU5658,1,0,14,4,4,3,3,4,4,4,4,4,1
STU5654,0,0,17,3,2,2,2,3,3,4,3,4,1
STU5662,0,0,17,3,3,3,3,4,3,3,2,3,1
STU5663,0,0,87,3,2,3,2,3,2,3,3,4,1
STU5665,1,0,30,2,3,2,2,3,2,2,0,2,0
STU5670,0,0,17,3,3,4,3,3,3,4,3,3,1
STU5672,0,0,1,3,3,3,4,3,3,3,3,4,1
STU5677,1,0,42,3,3,2,2,3,3,3,2,3,1
STU5678,0,0,16,2,1,2,1,0,0,2,2,0,0
STU5679,0,0,4,3,2,2,0,4,3,2,3,2,0
STU5680,0,0,17,3,2,2,2,3,3,3,3,3,1
STU5685,0,0,15,3,2,2,2,3,2,3,3,3,1
STU5686,0,0,45,3,3,3,3,3,3,4,3,4,1
STU5687,0,0,4,3,1,0,4,4,4,3,3,3,0
STU5688,1,0,77,2,2,2,2,3,3,4,2,2,0
STU5674,0,0,5,3,3,2,2,4,3,3,2,3,0
STU5691,1,0,17,3,3,3,2,3,4,3,2,2,1
STU5700,1,0,17,3,3,2,3,4,4,3,3,1,0
STU5701,0,0,17,4,3,4,3,4,4,4,4,4,1
STU5702,0,0,97,3,3,3,3,3,3,4,4,3,1
STU5694,1,0,5,3,4,3,3,5,4,2,2,3,1
STU5695,0,0,9,2,0,0,2,4,3,3,1,2,0
STU5697,0,0,97,3,3,3,2,3,2,3,3,3,1
STU5709,1,0,17,3,3,3,3,3,4,4,3,3,1
STU5713,0,0,17,2,2,2,2,4,3,2,2,2,0
STU5715,1,0,4,3,3,3,3,4,3,3,3,3,0
STU5717,1,0,5,3,3,3,4,4,3,2,2,2,0
STU5718,0,0,98,3,3,3,2,3,4,4,3,3,1
STU5722,1,0,17,3,3,4,3,3,2,4,4,3,1
STU5723,1,0,14,3,4,3,3,3,3,3,4,4,1
STU5724,1,0,9,2,2,0,2,2,2,3,2,3,0
STU5725,0,0,2,3,2,2,2,3,4,2,3,3,1
STU5726,0,0,41,3,2,3,3,3,3,4,3,4,1
STU5728,0,0,42,3,3,3,2,4,3,4,2,3,1
STU5732,1,0,44,3,2,2,3,3,2,4,3,3,1
STU5733,0,0,89,3,3,3,2,3,2,3,2,3,1
STU5734,0,0,17,2,2,2,1,3,3,3,2,2,0
STU5738,0,0,17,3,2,3,3,3,4,4,4,3,1
STU5742,1,0,2,3,3,3,2,3,4,2,3,4,1
STU5743,0,0,2,3,0,0,3,3,3,3,4,3,0
STU5744,0,0,33,3,3,2,3,4,4,4,3,4,1
STU5747,0,0,10,2,2,3,2,4,2,2,0,3,0
STU5748,1,0,45,3,4,4,3,3,2,4,2,2,0
STU5753,0,0,98,4,4,4,3,4,4,4,4,4,1
STU5759,1,0,95,3,3,3,2,2,3,3,2,4,1
STU5762,0,0,4,4,3,3,4,4,4,4,4,4,1
STU5765,0,0,1,3,3,3,3,3,3,3,3,3,1
STU5767,1,0,17,3,3,4,3,3,4,3,4,3,1
STU5768,0,0,11,2,2,2,0,2,2,2,2,3,0
STU5769,1,0,17,3,3,2,2,3,3,3,2,3,1
STU5770,1,0,11,2,2,2,2,2,0,2,2,2,0
STU5774,1,0,5,3,2,2,2,3,4,3,4,4,1
STU5775,0,0,5,2,2,2,0,4,2,2,2,2,0
STU5776,0,0,95,3,3,3,2,3,3,3,3,4,1
STU5777,1,0,42,4,4,4,3,4,4,3,3,4,1
STU5778,0,0,30,3,3,2,2,4,3,3,3,3,1
STU5780,1,0,14,2,3,2,2,2,3,2,3,2,0
STU5772,0,0,17,3,2,2,2,4,3,3,4,3,1
STU5785,1,0,14,3,3,3,3,3,4,3,4,4,1
STU5787,1,0,17,3,2,2,2,4,4,3,3,3,1
STU5793,0,0,25,3,3,2,2,3,2,4,2,3,1
STU5798,0,0,14,2,2,2,2,2,3,3,2,3,0
STU5800,0,0,30,3,2,2,2,4,3,2,2,3,0
STU5803,0,0,5,4,4,4,4,4,4,4,4,4,1
STU5805,0,0,1,3,3,3,4,3,3,3,4,4,1
STU5807,0,0,29,3,3,2,2,4,3,3,2,3,1
STU5812,1,0,5,2,3,2,2,5,4,1,0,0,0
STU5813,1,0,41,3,3,3,2,3,3,4,2,2,0
STU5817,0,0,29,2,2,2,3,3,2,3,0,2,0
STU5819,1,0,42,4,4,3,3,4,3,4,3,4,1
STU5821,1,0,9,3,2,2,3,4,2,3,3,4,1
STU5822,0,0,1,2,2,2,2,2,2,3,3,3,0
STU5823,1,0,17,3,4,3,3,3,4,3,3,3,1
STU5825,0,0,2,3,2,3,2,3,3,3,2,2,0
STU5828,0,0,1,3,3,2,2,3,3,3,3,3,1
STU5830,0,0,5,3,3,2,2,4,4,3,3,3,1
STU5832,1,0,5,3,3,4,2,5,4,3,2,2,0
STU5850,0,0,5,3,3,3,3,3,3,4,2,3,1
STU5861,1,0,5,3,2,3,3,3,2,3,3,2,1
STU5862,0,0,87,3,3,3,2,2,3,3,3,3,0
STU5863,0,0,25,3,2,3,2,4,4,4,3,4,1
STU5867,0,0,14,3,3,2,2,2,2,3,3,3,0
STU5871,0,0,97,2,0,0,3,2,2,4,2,2,0
STU5872,0,0,97,3,3,3,3,3,3,5,3,4,1
STU5859,1,0,5,3,3,4,3,3,3,4,3,4,1
STU5877,0,0,97,4,3,3,4,3,4,5,4,3,1
STU5884,0,0,30,3,2,2,3,3,3,3,2,0,1
STU5885,0,0,97,3,3,2,3,3,3,3,3,3,1
STU5879,0,0,45,2,1,2,0,1,2,0,4,0,0
STU5904,0,0,42,3,3,2,4,3,3,4,3,4,1
STU5910,0,0,14,3,2,3,3,3,2,3,4,3,1
STU5934,1,0,44,3,3,2,3,4,3,4,3,3,1
STU5937,1,0,44,2,2,2,2,2,0,3,2,3,0
STU5947,0,0,95,3,3,3,2,2,3,3,3,3,1
STU5948,1,0,14,3,0,0,2,2,2,3,3,3,0
STU5943,0,0,44,3,3,3,2,3,3,5,3,3,1
STU5961,0,0,19,2,3,3,3,3,3,3,3,0,0
STU5970,1,0,98,3,4,2,3,3,4,5,3,3,1
STU5971,0,0,41,4,3,3,4,3,4,4,4,4,1
STU5987,0,0,41,3,3,2,3,3,3,3,4,4,1
STU5988,1,0,41,2,2,2,2,0,2,4,2,1,0
STU5989,0,0,42,3,2,2,2,3,3,4,2,3,1
STU5997,0,0,78,3,3,3,2,2,3,4,3,3,1
STU6003,0,0,45,3,3,2,3,3,4,4,4,3,1
STU5968,1,0,77,3,3,2,2,3,3,5,3,3,1
STU6008,1,0,45,3,2,2,3,3,3,4,4,3,1
STU6018,1,0,33,2,0,2,0,3,3,3,2,2,0
STU6011,1,0,42,3,4,3,3,3,3,5,3,3,1
STU6039,0,0,15,3,2,3,2,3,3,3,3,3,1
STU6051,0,0,4,3,2,4,4,3,3,4,3,3,1
STU6052,1,0,18,2,2,2,2,2,2,3,2,2,0
STU6053,1,0,30,3,2,3,3,3,3,3,3,4,1
STU6054,0,0,15,3,3,4,3,3,3,3,3,3,1
STU6059,0,0,14,3,3,3,4,4,3,4,3,3,1
STU6063,0,0,18,3,2,3,3,3,3,3,3,2,1
STU6067,0,0,5,3,3,4,4,3,2,4,3,3,1
STU6076,0,0,18,3,3,3,3,3,3,3,3,3,1
STU6091,1,0,41,3,3,3,3,3,2,5,3,3,1
STU6092,0,0,1,3,3,2,2,3,3,3,3,3,1
STU6093,0,0,1,2,0,2,0,2,2,2,2,2,0
STU6086,1,0,5,4,3,4,4,4,3,4,4,4,1
STU6087,0,0,44,3,2,2,2,3,3,5,3,3,1
STU6089,1,0,18,3,3,3,3,3,2,4,3,3,1
STU6100,0,0,2,3,3,3,4,3,4,3,3,3,1
STU6102,0,0,2,3,2,2,2,2,2,4,3,3,1
STU6136,1,0,16,3,3,3,3,2,3,3,4,2,1
STU6121,0,0,17,3,3,2,3,3,4,4,4,3,1
STU6155,0,0,17,3,4,3,2,3,3,3,4,3,1
STU6131,0,0,1,2,2,0,0,0,3,3,2,2,0
STU6163,1,0,17,3,3,3,2,2,3,4,4,3,1
STU6165,1,0,41,4,3,3,4,4,4,4,4,4,1
STU6166,1,0,29,2,2,2,3,2,2,2,2,2,0
STU6168,0,0,41,3,3,4,3,3,3,4,3,4,1
STU6172,1,0,41,3,3,3,2,3,3,3,3,4,1
STU6174,0,0,5,4,3,3,3,4,4,4,4,4,1
STU6177,0,0,5,4,3,4,4,4,3,4,3,4,1
STU6179,1,0,29,3,3,3,3,3,3,3,3,3,1
STU6182,0,0,41,4,4,3,3,4,3,3,4,4,1
STU6196,1,0,5,2,2,2,2,3,2,3,3,3,0
STU6197,1,0,45,3,4,3,3,3,3,4,4,3,1
STU6193,1,0,17,4,4,4,3,4,4,4,3,3,1
STU6205,0,0,41,3,3,3,3,3,3,4,4,4,1
STU6211,1,0,5,2,2,2,2,2,0,3,0,0,0
STU6220,0,0,97,3,2,3,4,3,3,4,4,4,1
STU6226,0,0,1,2,2,2,2,0,2,2,2,3,0
STU6230,1,0,44,2,2,0,2,0,0,3,2,3,0
STU6236,0,0,1,3,2,3,3,3,3,3,3,3,1
STU6249,1,0,33,2,2,2,3,3,2,3,2,3,0
STU6251,0,0,97,3,2,3,2,3,3,4,3,3,1
STU6253,0,0,14,3,2,2,3,3,2,3,3,3,1
STU6268,1,0,29,3,2,3,3,3,2,3,2,2,1
STU6269,0,0,33,3,2,2,2,3,4,4,4,4,1
STU6270,0,0,29,3,2,3,3,4,3,3,3,4,1
STU6272,0,0,4,3,2,3,3,2,3,3,3,3,1
STU6277,1,0,30,2,1,2,2,2,0,2,2,2,0
STU6286,1,0,4,3,2,2,3,3,3,4,3,3,1
STU6261,0,0,14,3,4,3,4,4,3,4,4,3,1
STU6299,1,0,17,3,3,3,3,3,4,4,3,4,1
STU6304,0,0,15,3,2,3,2,3,3,3,3,3,1
STU6311,0,0,78,3,3,2,2,3,3,4,3,4,1
STU6324,1,0,33,3,3,2,2,2,2,3,3,3,1
STU6330,0,0,42,4,4,3,3,4,4,4,3,4,1
STU6331,0,0,18,3,2,3,3,3,4,3,4,3,1
STU6332,0,0,5,3,3,3,2,4,3,4,4,4,1
STU6336,0,0,41,3,3,2,2,3,3,5,2,3,1
STU6343,1,0,30,3,1,2,3,2,3,3,3,4,1
STU6351,0,0,17,3,2,2,2,2,3,3,3,3,1
STU6352,0,0,15,3,3,3,2,3,3,3,3,3,1
STU6353,1,0,89,3,3,3,3,4,3,4,2,3,1
STU6354,0,0,17,3,3,2,2,2,4,3,4,3,1
STU6366,1,0,19,3,3,3,2,2,3,3,3,3,1
STU6345,1,0,42,3,2,2,2,2,2,4,3,3,1
STU6348,0,0,17,3,2,2,2,4,3,3,3,3,1
STU6349,0,0,19,2,2,0,0,3,2,2,2,3,0
STU6376,0,0,89,3,3,2,2,3,3,3,2,3,1
STU6382,0,0,17,3,4,3,3,3,3,4,4,4,1
STU6383,1,0,5,3,2,2,2,2,3,4,2,3,0
STU6363,0,0,19,3,3,3,3,3,3,3,3,4,1
STU6393,0,0,17,3,3,3,3,3,4,3,4,3,1
